Extra,Giorno,Ora,Classe,Aula,Piano
,martedì,7°,5B_OD,Lab. OD1,PLESSO LABORATORI
,Mercoledì,1°,5B_OD,23,TERRA
,Mercoledì,2°,5B_OD,23,TERRA
,mercoledì,3°,5B_OD,23,TERRA
,mercoledì,4°,5B_OD,20,TERRA
,mercoledì,5°,5B_OD,20,TERRA
,mercoledì,6°,5B_OD,20,TERRA
,Giovedì,1°,5B_OD,Lab. OD1,PLESSO LABORATORI
,Giovedì,2°,5B_OD,Lab. OD1,PLESSO LABORATORI
,giovedì,3°,5B_OD,Lab. OD1,PLESSO LABORATORI
,giovedì,4°,5B_OD,29,PRIMO
,giovedì,5°,5B_OD,29,PRIMO
,giovedì,6°,5B_OD,27,PRIMO
,giovedì,7°,5B_OD,27,PRIMO
,Venerdì,1°,5B_OD,Lab. OD1,PLESSO LABORATORI
,Venerdì,2°,5B_OD,Lab. OD1,PLESSO LABORATORI
,venerdì,3°,5B_OD,22,TERRA
,venerdì,4°,5B_OD,22,TERRA
,venerdì,5°,5B_OD,23,TERRA
,venerdì,6°,5B_OD,23,TERRA
,,,1A_aer,30,PRIMO
,,,1A_en,39,PRIMO
,,,1A_inf,7,TERRA
,,,1A_mec,31,PRIMO
,,,1A_od,25,PRIMO
,,,1B_inf,16,TERRA
,,,1B_mec,40,PRIMO
,,,1B_od,28,PRIMO
,,,1C_inf,13,TERRA
,,,1C_mec,3,TERRA
,,,1D_inf,12,TERRA
,,,1F_idd,56,LAB. TERRA
,,,2A_aer,41,PRIMO
,,,2A_en,5,TERRA
,,,2A_inf,10,TERRA
,,,2A_mec,33,PRIMO
,,,2A_od,21,TERRA
,,,2B_inf,15,TERRA
,,,2B_mec,34,PRIMO
,,,2B_od,17,TERRA
,,,2C_inf,8,TERRA
,,,2D_inf,19,TERRA
,,,2E_inf,9,TERRA
,,,2F_idd,53,LAB. TERRA
,,,3A_et,48,LAB. 1PIANO
,,,3A_inf,35,PRIMO
,,,3A_mec,29,PRIMO
,,,3A_od,22,TERRA
,,,3B_inf,14,TERRA
,,,3B_mec,26,PRIMO
,,,3B_od,47,LAB. 1PIANO
,,,3C_tlc,42,PRIMO
,,,3E_inf,11,TERRA
,,,3F_idd,54,LAB. TERRA
,,,3G_idd,55,LAB. TERRA
,,,4A_aer,43,PRIMO
,,,4A_et,36,PRIMO
,,,4A_inf,Classe itinerante,
,,,4A_mec,27,PRIMO
,,,4A_od,23,TERRA
,,,4B_inf,60,LAB. TERRA
,,,4B_mec,44,PRIMO
,,,4B_od,20,TERRA
,,,4C_tlc,32,PRIMO
,,,4E_inf,6,TERRA
,,,4F_idd,2,TERRA
,,,5A_en,Classe itinerante,
,,,5A_et,Classe itinerante,
,,,5A_inf,Classe itinerante,
,,,5A_mec,37,PRIMO
,,,5A_od,18,TERRA
,,,5B_inf,Classe itinerante,
,,,5B_mec,1,TERRA
,,,5B_od,Classe itinerante,
,,,5C_tlc,Classe itinerante,
,,,5D_tlc,38,PRIMO
,,,5F_idd,4,TERRA
